DT_COMPTC,CNPJ_FUNDO_CLASSE,TP_FUNDO_CLASSE,ID_SUBCLASSE,VL_TOTAL,VL_QUOTA,VL_PATRIM_LIQ,CAPTC_DIA,RESG_DIA
2026-05-14,23.129.095/0001-43,CLASSES - FIF,,4229747134.3,1316255.5966761,4229823755.7,0.0,0.0
2026-04-02,48.313.866/0001-89,CLASSES - FIF,,403659059.29,1493.56002570262,403639848.07,750000.0,752553.03
2025-11-07,47.155.804/0001-23,CLASSES - FIF,,67937266.11,2.0106864,67944758.04,0.0,0.0
2025-11-27,04.310.455/0001-64,CLASSES - FIF,,7404831.92,457.1302304,7416203.13,0.0,0.0
2025-09-23,37.695.654/0001-97,CLASSES - FIF,,4213202.88,15.345871,4214624.41,0.0,0.0
2025-08-27,58.707.218/0001-60,CLASSES - FIF,,80217490.22,1.069608,80220666.53,0.0,0.0
2025-09-29,32.906.045/0001-16,CLASSES - FIF,,198301273.71,10.758076,199435636.5,2400000.0,0.0
2026-01-15,29.241.780/0001-43,CLASSES - FIF,,66258748.34,1.67632624,66374776.24,0.0,0.0
2026-05-19,09.513.186/0001-57,CLASSES - FIF,,1257971.93,4.85325,1266222.82,0.0,0.0
2026-03-31,59.825.229/0001-08,CLASSES - FIF,,13651809.72,1.125157,13692995.63,0.0,0.0
2025-10-16,52.164.389/0001-04,CLASSES - FIF,,6826606.73,111.4203295,6826766.7,0.0,0.0
2026-03-25,13.455.148/0001-62,CLASSES - FIF,,824103862.54,43.307216,823691688.97,3267.24,1449300.0
2025-08-04,02.497.034/0001-69,CLASSES - FIF,,9948167.56,62.982059,9949067.32,0.0,0.0
2025-12-26,53.087.958/0001-28,CLASSES - FIF,,120307963.21,1.00634826,120305287.6,0.0,0.0
2025-12-10,49.974.997/0001-70,CLASSES - FIF,,2000774078.06,1.3805569,2000833402.92,2184000.0,2809000.0
2025-06-27,47.192.313/0001-52,CLASSES - FIF,,3148114.14,0.110721,3149110.47,0.0,0.0
2025-09-30,61.662.323/0001-35,CLASSES - FIF,GB1DG1752622811,56001593.04,1.054878766832,56000687.38,0.0,0.0
2025-06-18,59.815.671/0001-53,CLASSES - FIF,,21779355.9,0.999669,21777724.44,0.0,36802.28
2025-12-04,39.470.942/0001-79,CLASSES - FIF,,4240479.68,14.40665,4318379.13,0.0,0.0
2025-10-13,31.008.331/0001-00,CLASSES - FIF,,17032039.0,1.5921173,17029789.59,1092.79,250.3
2026-03-02,42.431.968/0001-12,CLASSES - FIF,,60394090.04,1.0603196,60391691.24,0.0,0.0
2025-06-26,30.378.490/0001-25,CLASSES - FIF,,13960211.05,14.9770454,13926831.08,0.0,0.0
2025-07-30,38.196.502/0001-02,CLASSES - FIF,,5290450.37,0.9010124,5288788.12,0.0,0.0
2025-10-06,50.857.038/0001-53,CLASSES - FIF,,70540683.98,1.7818751,70697397.59,0.0,0.0
2026-05-14,57.662.266/0001-17,CLASSES - FIF,,243625470.16,1.204098629967,243624934.0,66000.0,744000.0
2026-05-26,62.920.974/0001-40,CLASSES - FIF,,2312433.3,2.25625329,2309717.15,0.0,0.0
2025-09-19,21.646.715/0001-96,CLASSES - FIF,,126046920.91,6.64384571,125901445.41,0.0,0.0
2025-08-25,36.017.695/0001-61,CLASSES - FIF,,201951226.66,2.24745577,201942844.99,0.0,0.0
2025-10-15,09.005.823/0001-84,CLASSES - FIF,,158652829.86,1.759381066,158509615.19,94656.3,64332.19
2025-09-10,55.507.577/0001-86,CLASSES - FIF,,28489851.27,10.8829141,28503206.42,0.0,0.0
2026-03-25,08.927.551/0001-07,CLASSES - FIF,,401846940.23,53.156224,401856142.24,0.0,0.0
2026-05-15,13.503.227/0001-00,CLASSES - FIF,,20557932.44,3.38007569,20558381.86,0.0,0.0
2025-06-06,51.204.043/0001-20,CLASSES - FIF,,43524130.82,1.1421723,43394181.5,0.0,0.0
2025-07-03,17.797.436/0001-56,CLASSES - FIF,,6334877.98,23.1452677,6323019.72,0.0,0.0
2025-06-05,26.507.096/0001-72,CLASSES - FIF,,8957930.98,16.6511634,8959582.25,0.0,0.0
2026-03-19,64.365.407/0001-03,CLASSES - FIF,,112191859.39,1.021653,112231836.78,0.0,0.0
